Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
  2,0.0649,0.0040,0.0164,0.0016,0.0751,0.0159,0.0032,0.0003,0.00043,0.00056,0.0000,0.0000,0.0000,0.0000,0.2853,0.0190,0.0000,0.0000,0.017528,0.001803,0.453071,0.051408,0.053945,0.013592,0.018984,0.004725,0.00052,0.00007,0.002342,0.000268,0.00429,0.00035,0.000607,0.000252,0.51319,0.05168, 718.7,178.6, 719.8,212.4
  4,0.0745,0.0034,0.0193,0.0022,0.0795,0.0190,0.0038,0.0003,0.00011,0.00004,0.0000,0.0000,0.0000,0.0000,0.3357,0.0135,0.0000,0.0000,0.020996,0.001188,0.366706,0.033219,0.064934,0.013797,0.021689,0.005137,0.00074,0.00010,0.002857,0.000144,0.00531,0.00038,0.001322,0.000373,0.43757,0.03371, 835.0,256.5, 837.5,302.1
  6,0.0869,0.0065,0.0229,0.0018,0.0818,0.0190,0.0047,0.0006,0.00027,0.00043,0.0000,0.0000,0.0000,0.0000,0.4101,0.0450,0.0000,0.0000,0.025374,0.002345,0.253762,0.088151,0.074176,0.007629,0.025377,0.003094,0.00093,0.00010,0.003010,0.000328,0.00607,0.00051,0.002603,0.000378,0.33743,0.08826, 920.4,276.1, 924.5,328.7
 10,0.0940,0.0037,0.0240,0.0030,0.1009,0.0204,0.0056,0.0004,0.00194,0.00011,0.0000,0.0000,0.0000,0.0000,0.4838,0.0261,0.0000,0.0000,0.026695,0.001418,0.139752,0.047392,0.082696,0.003479,0.024645,0.001086,0.00108,0.00007,0.003100,0.000149,0.00669,0.00055,0.004311,0.000716,0.22598,0.04752,1068.7,279.9,1076.2,337.0
 14,0.0921,0.0067,0.0240,0.0021,0.1072,0.0379,0.0067,0.0009,0.01292,0.01214,0.0000,0.0000,0.0000,0.0000,0.5722,0.0583,0.0000,0.0000,0.022346,0.002889,0.057643,0.010717,0.076662,0.009695,0.016437,0.004159,0.00075,0.00008,0.002226,0.000284,0.00516,0.00072,0.005411,0.000882,0.12856,0.01207,1182.0,269.0,1193.7,332.5
 20,0.0865,0.0081,0.0196,0.0032,0.0944,0.0196,0.0075,0.0015,0.02488,0.02701,0.0000,0.0000,0.0000,0.0000,0.6255,0.0938,0.0000,0.0000,0.019636,0.005975,0.033339,0.015296,0.065036,0.023320,0.012108,0.006790,0.00065,0.00031,0.002022,0.000482,0.00463,0.00127,0.004713,0.000406,0.09198,0.01810,1242.9,220.5,1257.1,281.5
 30,0.0622,0.0145,0.0114,0.0046,0.0740,0.0271,0.0079,0.0008,0.07146,0.03300,0.0000,0.0000,0.0000,0.0000,0.7031,0.0585,0.0000,0.0000,0.009288,0.003384,0.007566,0.001678,0.041701,0.025075,0.003878,0.001733,0.00024,0.00005,0.000760,0.000233,0.00216,0.00072,0.003918,0.000572,0.03533,0.00623,1233.6,247.5,1247.5,317.6
 45,0.0468,0.0065,0.0030,0.0044,0.0629,0.0139,0.0083,0.0006,0.10572,0.00726,0.0000,0.0000,0.0000,0.0000,0.7403,0.0196,0.0000,0.0000,0.003168,0.001153,0.000932,0.000262,0.022516,0.007116,0.001445,0.000177,0.00008,0.00001,0.000190,0.000020,0.00068,0.00019,0.001390,0.000077,0.00952,0.00454,1105.4,354.0,1114.7,444.3
 60,0.0351,0.0008,0.0018,0.0001,0.0344,0.0074,0.0086,0.0006,0.14303,0.00268,0.0000,0.0000,0.0000,0.0000,0.7636,0.0120,0.0000,0.0000,0.000725,0.000029,0.000061,0.000004,0.007724,0.000165,0.000405,0.000005,0.00000,0.00000,0.000019,0.000001,0.00011,0.00001,0.000367,0.000056,0.00309,0.00009, 934.7,379.2, 939.4,472.2
 75,0.0242,0.0005,0.0000,0.0000,0.0219,0.0051,0.0088,0.0006,0.16601,0.00300,0.0000,0.0000,0.0000,0.0000,0.7728,0.0115,0.0000,0.0000,0.000074,0.000003,0.000000,0.000000,0.001285,0.000027,0.000000,0.000000,0.00000,0.00000,0.000000,0.000000,0.00000,0.00000,0.000188,0.000029,0.00007,0.00000, 790.9,306.4, 787.6,364.7
100,0.0119,0.0002,0.0000,0.0000,0.0081,0.0024,0.0089,0.0006,0.18388,0.00323,0.0000,0.0000,0.0000,0.0000,0.7829,0.0112,0.0000,0.0000,0.000013,0.000001,0.000000,0.000000,0.000166,0.000003,0.000000,0.000000,0.00000,0.00000,0.000000,0.000000,0.00000,0.00000,0.000025,0.000013,0.00001,0.00000, 610.9,228.2, 611.4,285.9
