Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene
2,0.058953924423242,0.00455833958023364,0.0147654424088385,0.00124533353107293,0.0615611098206817,0.012536776442079,0.00283405558490935,0.000228628723555236,0.000261480445380987,2.00056506254054e-05,0,0,0,0,0.266187182475954,0.266187182475954,0.0722216443542629,0.122611246913356,0.0256207441333319,0.00231622065841101,0.398980106634284,0.0415779414977557,0.0593894417268161,0.0045835399029929,0.0283760445623923,0.00704645348271013,0.000693656401920759,0.0003232249054072,0.00401346858816719,0.000344078070715914,0.00614169843981775,0.000548011801147145
4,0.0706644407115267,0.00300807509585175,0.0194426378593979,0.00103316503615074,0.0633287610804727,0.0271504516890814,0.00352570677693287,0.000162886448923619,0.000190026767028389,6.52953225297416e-05,0,0,0,0,0.32979589047137,0.32979589047137,0.0141476787484938,0.023213684094065,0.0329711441991876,0.00204536555747291,0.344510176957632,0.0308342216934772,0.0744367922762847,0.00302430972104642,0.0329860412213482,0.00784709964102423,0.00110932373002065,0.000529118317208307,0.00507739080721563,0.000277062107124309,0.0078139883930888,0.00052075893445286
6,0.0811436754850462,0.00436348242831751,0.0217343652735147,0.00112607164018243,0.0676365235869203,0.0138660809470499,0.00431313066599862,0.000481557831322374,0.000384320271973954,0.000414633519974263,0,0,0,0,0.395615396444051,0.395615396444051,0.0138028945513614,0.0247380256200721,0.0387875431636096,0.00315483987383035,0.23587717825375,0.0782822856440359,0.08684728995951,0.0039564274702985,0.0381616222415765,0.00389069227484114,0.0013449470271243,0.000620605795806899,0.00520176093061374,0.000374242611437462,0.00914935214495034,0.000574936217578081
10,0.0901222051872904,0.00320685417260352,0.0240269548796965,0.00117735937071355,0.076699287695999,0.014705497890655,0.00524917187933375,0.000222437171119177,0.00199760959641268,6.74881695648883e-05,0,0,0,0,0.484479323962441,0.484479323962441,0.00939612090964571,0.0237615727436524,0.0433713771669208,0.00255141737692632,0.110409552116808,0.00865682641321261,0.0999727002083035,0.00352626461602889,0.0376067194146578,0.00182502860757496,0.00153636401454542,0.000708092556400175,0.00531540966038472,0.000272982184885227,0.00981720330756139,0.000559613594362623
14,0.0898198280492485,0.00502963690524516,0.0228950617479518,0.00104360670685528,0.0793866185423901,0.0223893267352709,0.00641688169574513,0.000383123517110413,0.0131627834664211,0.01237959090266,0,0,0,0,0.571370695566935,0.571370695566935,0,0,0.0354985315844494,0.00572762076740628,0.0552442384293818,0.0102957418716775,0.0871601945714113,0.0089530123926099,0.026061421368158,0.00617159356903295,0.00117533698175293,0.000600031800007072,0.00405867218984037,0.000322821823324774,0.00774973580631455,0.00104720524993225
20,0.0850707470866538,0.00743559736332777,0.0186133309946725,0.00303711512944753,0.0742275732374386,0.0184546688081588,0.00671071395391313,0.000912731639681148,0.0243105970211827,0.0261096255714627,0,0,0,0,0.618825033365031,0.618825033365031,0,0,0.0313035698006945,0.00985844611976533,0.0316753802089037,0.01461896297085,0.0786574265385338,0.0187510672185587,0.0192966220126551,0.0114288184487643,0.00102575601192745,0.00061232285574317,0.00341043693043275,0.000959864881489847,0.00687281283796096,0.00193653843273123
30,0.060580028006041,0.0146797306042631,0.0104852950740151,0.00323051089350109,0.0623276852113027,0.0195468829002645,0.00766790749622917,0.000603797717446674,0.0706329014567738,0.0337461742633745,0,0,0,0,0.70824022899625,0.70824022899625,0,0,0.0151758172844186,0.00559811429462081,0.00733832447293728,0.00165206037873039,0.0437921450726599,0.0138268326017664,0.00871655515296707,0.000204101735575139,0.00037271555766232,0.00019022369831304,0.00139540119400102,0.000432970065860189,0.00327499502474193,0.00109812112686356
45,0.0470773627304055,0.00658611324635308,0.0030800866837004,0.00446130560841453,0.0369474667756953,0.0210052237790329,0.00829563364062206,0.000307096693314094,0.106802285839649,0.0081262222685438,0,0,0,0,0.768611259691676,0.768611259691676,0,0,0.00533422223147656,0.00195262673611352,0.00093102755755141,0.000263183847796458,0.0184345798636085,0.0056458719924755,0.00293280705538793,0.000635747954091854,0.000135362859936124,6.53675141914001e-05,0.000358645252119435,3.95811264712562e-05,0.00105925981817155,0.000303571295763094
60,0.0273071776078509,0.0135217872108462,0.000887130360189566,0.00177500620696215,0.0185766969731182,0.0035362883545972,0.0085403960986854,0.000360007398974835,0.154720569782052,0.0261018275453827,0,0,0,0,0.785770752567488,0.785770752567488,0,0,0.000699293773743753,0.000891543933195959,4.80064824389248e-05,2.43435470637453e-05,0.00313256796755026,0.00375973089279352,0.000199253071682884,3.96042014616505e-06,0,0,1.80044314332355e-05,3.60261194145228e-05,0.000100150883767454,0.000123227264975101
100,0.0150830078701551,0.000347842039875222,0,0,0.00617786598467836,0.0011725872971605,0.00859488626146437,0.00028215772734186,0.179081654313584,0.00380539694277819,0,0,0,0,0.790780718710211,0.790780718710211,0,0,0,0,5.41644263220168e-05,3.98513631409239e-06,0.000227702433585424,5.14125747067687e-06,0,0,0,0,0,0,0,0
